HG00180	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188146/ERR188146_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188146/ERR188146_2.fastq.gz	ERS185065	HG00180.1.M_111124_8	FIN	1
HG00181	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188118/ERR188118_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188118/ERR188118_2.fastq.gz	ERS185173	HG00181.4.M_120208_4	FIN	4
HG00182	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188149/ERR188149_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188149/ERR188149_2.fastq.gz	ERS185135	HG00182.1.M_111124_4	FIN	1
HG00183	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188302/ERR188302_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188302/ERR188302_2.fastq.gz	ERS185277	HG00183.5.M_120131_5	FIN	5
HG00185	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188320/ERR188320_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188320/ERR188320_2.fastq.gz	ERS185209	HG00185.1.M_111124_5	FIN	1
HG00186	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188090/ERR188090_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188090/ERR188090_2.fastq.gz	ERS185315	HG00186.3.M_120202_5	FIN	3
HG00187	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188425/ERR188425_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188425/ERR188425_2.fastq.gz	ERS185355	HG00187.1.M_120209_2	FIN	1
HG00188	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188400/ERR188400_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188400/ERR188400_2.fastq.gz	ERS185201	HG00188.1.M_111124_3	FIN	1
HG00189	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188361/ERR188361_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188361/ERR188361_2.fastq.gz	ERS185079	HG00189.1.M_111124_5	FIN	1
HG00231	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188212/ERR188212_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188212/ERR188212_2.fastq.gz	ERS185286	HG00231.2.M_111216_2	GBR	2
HG00232	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188289/ERR188289_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188289/ERR188289_2.fastq.gz	ERS185351	HG00232.7.M_120219_3	GBR	7
HG00233	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188312/ERR188312_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188312/ERR188312_2.fastq.gz	ERS185350	HG00233.2.M_111215_8	GBR	2
HG00234	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188237/ERR188237_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188237/ERR188237_2.fastq.gz	ERS185334	HG00234.7.M_120219_4	GBR	7
HG00235	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188450/ERR188450_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188450/ERR188450_2.fastq.gz	ERS185279	HG00235.1.M_111124_1	GBR	1
HG00236	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188036/ERR188036_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188036/ERR188036_2.fastq.gz	ERS185237	HG00236.5.M_120131_5	GBR	5
HG00238	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188333/ERR188333_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188333/ERR188333_2.fastq.gz	ERS185034	HG00238.5.M_120131_5	GBR	5
HG00239	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188112/ERR188112_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188112/ERR188112_2.fastq.gz	ERS185379	HG00239.7.M_120219_4	GBR	7
HG00240	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188370/ERR188370_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188370/ERR188370_2.fastq.gz	ERS185105	HG00240.2.M_111215_5	GBR	2
HG00242	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188053/ERR188053_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188053/ERR188053_2.fastq.gz	ERS185337	HG00242.3.M_120202_7	GBR	3
HG00243	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188411/ERR188411_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188411/ERR188411_2.fastq.gz	ERS185501	HG00243.4.M_120208_2	GBR	4
HG00244	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188448/ERR188448_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188448/ERR188448_2.fastq.gz	ERS185335	HG00244.5.M_120131_7	GBR	5
HG00245	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188159/ERR188159_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188159/ERR188159_2.fastq.gz	ERS185364	HG00245.4.M_120208_6	GBR	4
HG00246	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188271/ERR188271_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188271/ERR188271_2.fastq.gz	ERS185192	HG00246.7.M_120219_4	GBR	7
HG00247	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188106/ERR188106_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188106/ERR188106_2.fastq.gz	ERS185114	HG00247.3.M_120202_1	GBR	3
HG00249	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188456/ERR188456_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188456/ERR188456_2.fastq.gz	ERS185410	HG00249.3.M_120202_4	GBR	3
HG00250	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188080/ERR188080_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188080/ERR188080_2.fastq.gz	ERS185185	HG00250.1.M_111124_4	GBR	1
HG00251	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188154/ERR188154_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188154/ERR188154_2.fastq.gz	ERS185361	HG00251.2.M_111216_8	GBR	2
HG00252	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188464/ERR188464_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188464/ERR188464_2.fastq.gz	ERS185473	HG00252.1.M_111124_5	GBR	1
HG00253	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188351/ERR188351_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188351/ERR188351_2.fastq.gz	ERS185372	HG00253.5.M_120131_7	GBR	5
HG00255	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188111/ERR188111_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188111/ERR188111_2.fastq.gz	ERS185046	HG00255.2.M_111216_1	GBR	2
HG00256	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188091/ERR188091_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188091/ERR188091_2.fastq.gz	ERS185256	HG00256.2.M_111215_7	GBR	2
HG00257	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188323/ERR188323_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188323/ERR188323_2.fastq.gz	ERS185472	HG00257.4.M_120208_5	GBR	4
HG00258	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188242/ERR188242_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188242/ERR188242_2.fastq.gz	ERS185466	HG00258.1.M_111124_6	GBR	1
HG00259	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188378/ERR188378_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188378/ERR188378_2.fastq.gz	ERS185384	HG00259.5.M_120131_3	GBR	5
